epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6975,1.39036,3.46437,1.48503,0.00472,0.58835,0.07074,0.03223,1.16366,3.54075,1.1772,1.25e-05,1.25e-05,1.25e-05
2,23.4594,1.3017,3.37377,1.38687,0.00475,0.58835,0.09944,0.04968,1.08746,3.52057,1.12304,3.67575e-05,3.67575e-05,3.67575e-05
3,35.287,1.12231,3.38098,1.27973,0.00441,0.54989,0.13211,0.08518,1.01796,3.51176,1.05836,6.0025e-05,6.0025e-05,6.0025e-05
4,47.0271,0.98898,3.26082,1.24107,0.00432,0.53323,0.17181,0.12275,0.95433,3.49513,1.02662,8.23025e-05,8.23025e-05,8.23025e-05
5,58.7089,0.97485,3.17705,1.19104,0.00422,0.51934,0.25491,0.20529,0.94191,3.4926,1.01982,0.00010359,0.00010359,0.00010359
6,69.3106,1.05542,3.07321,1.24085,0.00428,0.51934,0.30594,0.23465,0.93644,3.47757,1.00952,0.000123888,0.000123888,0.000123888
7,79.4498,1.01058,3.06049,1.15526,0.0043,0.51934,0.2969,0.2385,0.932,3.45573,1.01196,0.000143195,0.000143195,0.000143195
8,89.4462,1.0334,2.85767,1.19338,0.00476,0.56912,0.27434,0.23537,0.88973,3.42494,0.97692,0.000161513,0.000161513,0.000161513
9,98.8595,1.12798,2.67889,1.23696,0.00477,0.56912,0.26857,0.23299,0.90669,3.39361,0.99003,0.00017884,0.00017884,0.00017884
10,108.351,1.11338,2.67953,1.24845,0.00478,0.56912,0.28044,0.2422,0.8936,3.36253,0.97663,0.000195178,0.000195178,0.000195178
11,117.782,0.94057,2.55901,1.13837,0.00475,0.56912,0.28598,0.25121,0.88102,3.3189,0.96958,0.000210525,0.000210525,0.000210525
12,127.174,0.9295,2.46057,1.12535,0.00476,0.56912,0.29499,0.25981,0.89298,3.27823,0.97861,0.000224883,0.000224883,0.000224883
13,136.573,1.08843,2.4174,1.23351,0.00475,0.56912,0.32034,0.27973,0.87659,3.23524,0.97498,0.00023825,0.00023825,0.00023825
14,146.061,0.94693,2.1816,1.12009,0.64528,0.14974,0.33127,0.28956,0.85978,3.19508,0.96893,0.000250627,0.000250627,0.000250627
15,155.466,0.99673,2.1829,1.15642,0.9573,0.03333,0.3451,0.29989,0.87426,3.14964,0.98631,0.000262015,0.000262015,0.000262015
16,164.874,0.80215,1.93502,1.09779,0.88117,0.07179,0.34471,0.29508,0.85317,3.0913,0.98554,0.000272412,0.000272412,0.000272412
17,174.221,0.88749,1.96146,1.16944,0.9467,0.13125,0.3602,0.31503,0.84911,3.02163,0.97823,0.00028182,0.00028182,0.00028182
18,183.693,0.97378,2.00857,1.20787,0.96434,0.18641,0.38177,0.33071,0.85978,2.96749,0.97454,0.000290237,0.000290237,0.000290237
19,193.099,1.0688,1.89151,1.2624,0.89284,0.2181,0.37216,0.32752,0.86366,2.92325,0.96485,0.000297665,0.000297665,0.000297665
20,202.481,0.95512,1.77341,1.10181,0.81484,0.2457,0.39459,0.34377,0.87315,2.88444,0.96902,0.000304103,0.000304103,0.000304103
21,212.115,0.89915,1.65038,1.15146,0.7997,0.27856,0.42267,0.36078,0.87075,2.83872,0.96912,0.00030955,0.00030955,0.00030955
22,221.651,0.83959,1.67924,1.05586,0.83286,0.29377,0.45029,0.37992,0.87776,2.8067,0.97225,0.000314008,0.000314008,0.000314008
23,231.497,0.97576,1.66322,1.1443,0.79264,0.33726,0.47,0.39719,0.85718,2.72326,0.96269,0.000317475,0.000317475,0.000317475
24,243.404,0.90064,1.61193,1.12142,0.73266,0.39055,0.49461,0.41978,0.86609,2.61318,0.97126,0.000319953,0.000319953,0.000319953
25,253.215,0.90167,1.53672,1.12663,0.70717,0.421,0.50336,0.42068,0.8595,2.51277,0.97143,0.00032144,0.00032144,0.00032144
26,262.984,0.94248,1.56362,1.17632,0.68915,0.42265,0.52265,0.44188,0.87321,2.4073,0.97873,0.000321938,0.000321938,0.000321938
27,272.512,0.87092,1.42645,1.0915,0.71792,0.4563,0.54668,0.44559,0.89326,2.31262,0.97202,0.000321445,0.000321445,0.000321445
28,282.707,0.96356,1.48391,1.10609,0.71792,0.4563,0.54668,0.44559,0.89326,2.31262,0.97202,0.000319962,0.000319962,0.000319962
29,292.286,0.90555,1.48195,1.15019,0.83765,0.45245,0.55807,0.44979,0.90511,2.24272,0.98578,0.00031749,0.00031749,0.00031749
30,301.705,0.92341,1.54923,1.0862,0.87815,0.4508,0.56976,0.46099,0.88614,2.19144,0.97054,0.000314028,0.000314028,0.000314028
31,311.105,0.90681,1.55412,1.10982,0.87815,0.4508,0.56976,0.46099,0.88614,2.19144,0.97054,0.000309575,0.000309575,0.000309575
32,320.573,0.77386,1.26164,1.06297,0.90464,0.44829,0.57244,0.47491,0.85871,2.11326,0.97006,0.000304132,0.000304132,0.000304132
33,329.93,0.85914,1.42629,1.13605,0.92516,0.46507,0.58984,0.49795,0.8209,2.02845,0.94598,0.0002977,0.0002977,0.0002977
34,339.271,0.83051,1.44271,1.11143,0.92516,0.46507,0.58984,0.49795,0.8209,2.02845,0.94598,0.000290277,0.000290277,0.000290277
35,348.683,0.79334,1.25449,1.05546,0.96294,0.4797,0.60212,0.51901,0.79207,1.96049,0.92916,0.000281865,0.000281865,0.000281865
36,358.031,0.89064,1.33506,1.09456,0.9476,0.50617,0.62924,0.55457,0.75166,1.93171,0.90088,0.000272463,0.000272463,0.000272463
37,367.283,0.84898,1.293,1.08581,0.9476,0.50617,0.62924,0.55457,0.75166,1.93171,0.90088,0.00026207,0.00026207,0.00026207
38,376.69,0.86971,1.3443,1.09214,0.96211,0.50796,0.64829,0.57593,0.73364,1.89237,0.89627,0.000250687,0.000250687,0.000250687
39,386.119,0.81656,1.34108,1.04442,0.97257,0.53003,0.67077,0.5946,0.7202,1.8441,0.89524,0.000238315,0.000238315,0.000238315
40,395.411,0.8056,1.28497,1.04678,0.97257,0.53003,0.67077,0.5946,0.7202,1.8441,0.89524,0.000224952,0.000224952,0.000224952
41,404.775,0.81327,1.48139,1.05992,0.97216,0.53755,0.68964,0.60485,0.71502,1.78463,0.89406,0.0002106,0.0002106,0.0002106
42,414.151,0.77771,1.32452,1.01127,0.99184,0.55725,0.70601,0.62066,0.69908,1.73389,0.89045,0.000195258,0.000195258,0.000195258
43,423.386,0.75476,1.27353,1.0206,0.99184,0.55725,0.70601,0.62066,0.69908,1.73389,0.89045,0.000178925,0.000178925,0.000178925
44,432.687,0.77287,1.29845,1.05394,0.96629,0.57507,0.72913,0.64443,0.7006,1.7183,0.89658,0.000161603,0.000161603,0.000161603
45,441.88,0.71429,1.22938,0.97427,0.96629,0.57507,0.72913,0.64443,0.7006,1.7183,0.89658,0.00014329,0.00014329,0.00014329
46,451.146,0.88022,1.39209,1.1434,0.93977,0.58174,0.74833,0.6496,0.70104,1.69867,0.90412,0.000123987,0.000123987,0.000123987
47,460.306,0.68695,1.17236,0.98594,0.93977,0.58174,0.74833,0.6496,0.70104,1.69867,0.90412,0.000103695,0.000103695,0.000103695
48,469.597,0.7086,1.19263,1.02334,0.93865,0.5943,0.76622,0.66028,0.70187,1.66148,0.9136,8.24125e-05,8.24125e-05,8.24125e-05
49,478.765,0.64995,1.10108,0.9459,0.93865,0.5943,0.76622,0.66028,0.70187,1.66148,0.9136,6.014e-05,6.014e-05,6.014e-05
50,488.212,0.71784,1.18484,1.02368,0.91207,0.60074,0.78357,0.67253,0.69719,1.59589,0.91442,3.68775e-05,3.68775e-05,3.68775e-05
